,R_29,N_5,R_15,R_27,R_24,R_30,N_20,R_17,N_3,N_23,N_4,R_28,N_1,R_12,R_13,N_9,N_22,N_2,N_0,N_7,R_14,N_10,R_25,R_16,N_19,N_8,R_21,R_26,N_6,R_11,R_31,N_18
33_SCORE: C4B,0.2125278369357833,0.43188450873550516,0.35291990975081206,0.2892534339260656,0.16535796605386707,0.4402087714460148,0.305721880789768,0.6457900476331694,0.50546061307849,0.0,0.43724734201267496,0.22794900178750982,0.4625880733952625,0.1891273093119188,0.4870271574944079,0.04847709772605052,0.09349570650803693,0.29673312935765633,0.20473175415167294,0.5970397570615662,0.23001293899601521,0.6787960730401819,0.13379186216893296,1.0,0.4303896574735876,0.4409602568839729,0.05638110253769546,0.9189330710093413,0.5332837381896437,0.3852989196914669,0.0661759486016843,0.3750473060326888
34_SCORE: CDH1,0.6894902668615743,0.10590144824136805,0.5479764597437253,0.5840258917006435,0.39421560443618064,0.5182506660996132,0.5838218324146545,0.4712051017099887,0.5598378056252918,0.8796789464521733,0.631903208523932,0.44552692590840937,0.962684370648242,0.71307776497468,0.5023068944041527,0.505129023097979,0.7469861471352977,0.77128182376336,0.8419578490181521,0.534647524415711,0.0,0.8025396589836684,0.3769708498707691,0.4577065288461997,1.0,0.8455875164160522,0.6802474375956304,0.4832372466804839,0.7953541219045014,0.8244635567724464,0.6418736055117225,0.8329621706068593
35_SCORE: CTSG,0.6853332023743304,0.5079142037570218,0.7254220425812443,0.3074506839827293,0.01389648101136981,0.254013041072063,0.6014180838535231,0.6453691677121736,0.24634190154163202,0.7867236063643417,0.0,0.25133868795276515,0.29568787032311716,0.6786512010771021,0.001167395124574977,1.0,0.9962925771745641,0.4584354733626603,0.9393370960605002,0.29333943296688514,0.2855186727685665,0.6599256698922797,0.49752695667570146,0.48724571730833927,0.9350109227815377,0.20430234275625753,0.6680896114135986,0.5063814644352255,0.3672507916917568,0.09443482531229508,0.6465081806747524,0.6652555122971522
36_SCORE: CXCL14,0.6397082062269526,0.7061446140399237,0.6024340080953133,0.40512618378177223,0.5608711495235811,0.4105633012043441,0.5419428785369702,0.6357817224693462,0.06099922291901094,0.7163127065893358,0.20477337885342278,0.5747410333325215,0.3429827602135087,0.6459210634456503,0.30765123828883956,0.7236108434319546,1.0,0.7771759521324721,0.7461164026879251,0.0,0.9904871850196693,0.8888761532609115,0.7297031039601758,0.8080614037758416,0.6913112367588706,0.2111851847727435,0.5198998625058302,0.7918514369006282,0.40225544604637387,0.2523131636282199,0.546446436438971,0.8129942872631294
20_SCORE: MAGEC1,0.6569644455886963,0.32903053846808406,0.33423526284944943,0.2425917881236591,0.41034916037292696,0.24238983215660373,0.0,0.8347546891359425,0.4137921614949789,0.3795029516819589,0.2554486752668555,0.38494929734198935,0.3032348650463614,0.7107568927282654,0.19312747786020326,0.39999732501417995,0.44831037576407035,0.9999999999999999,0.5541912819082422,0.39983497763353926,0.6701314729860639,0.36293666217582937,0.4654791615777347,0.3728080089964983,0.40525709319689024,0.2871241753756243,0.30083445577302603,0.4065944201983698,0.34552596903040345,0.4064579670182431,0.32166708364401164,0.7274337347174439
37_SCORE: PASD1,0.4835214005061149,0.5073722344954761,0.4608405082889648,0.353988531297501,0.25506878256468213,0.39806766866065946,0.37555039993620265,1.0,0.7588566008033718,0.48438319503686555,0.3542672754034646,0.3237365793678123,0.25443969741770245,0.4873018478933445,0.36439873333493517,0.38735548515145735,0.35889705970823904,0.07001735491165784,0.34399520930578575,0.4732576759687203,0.0,0.3980769071130942,0.18937604231874086,0.4820485674468227,0.8653082885557781,0.4084247909954428,0.34173084622720123,0.48257376371723204,0.17727003758012078,0.496645503703696,0.3224532695892577,0.29468444230056345
38_SCORE: IDO1,0.29512070984322397,0.6102492069244974,0.4800136841728322,0.19464391980955265,0.4412462546702897,0.3024668428546911,0.2946463685191706,0.2575778084113629,0.3933356185603139,0.24917182410256367,0.4126850273760349,0.45418327972701344,0.0,0.2643027792684761,0.20723755016977566,0.3818158830021576,0.24176390869008002,0.028254203845570147,0.41584641952613227,1.0,0.23652013353762014,0.6335585426434911,0.20509618126181542,0.28892617568963846,0.3229129822648066,0.5087656039298815,0.17981531664774245,0.2864644537052795,0.13820397898030726,0.4146973191141323,0.18301412490694355,0.4394468105534904
39_SCORE: CXCL11,0.8112458232232533,1.0,0.7819077279843071,0.557796747920404,0.9777973594953051,0.5954860010800497,0.665384538621803,0.9527132555562536,0.3132069027364504,0.19256133880989906,0.461255757038675,0.9124273026272351,0.2356720570447634,0.8161358921160682,0.49549656132210956,0.6924288270504091,0.20790845604478636,0.7131578607593885,0.4703153014128835,0.5815374166036813,0.707970975049022,0.5867698879405719,0.6654011110064212,0.4739559038890792,0.7200341835366652,0.8756287513541747,0.6311532557380973,0.5081653194066775,0.0,0.27425312007622776,0.6354866645816873,0.49184748606924134
40_SCORE: LTK,0.7635968633726875,0.21186632279152007,0.2653108270460774,0.6401385667095673,0.31402793621478675,0.4182480738954191,0.3148983712115847,0.0,0.09604242433392551,0.41160370292188975,0.29411920736631925,0.2977706173753887,0.8598557149253553,0.8466510980160457,0.5002777272224761,0.5051702421047154,0.7646759465704422,0.9134844817296146,0.4676566426029997,0.5195623267951712,0.45330611225963413,1.0,0.6481037624742694,0.16921278340721024,0.33081009159959707,0.5832981621814798,0.8048203008330533,0.23693962188211837,0.7050603868926988,0.5235294586258935,0.7849908304051965,0.5301305063705428
41_SCORE: CCL27,0.7432350680917705,0.5623248416033131,0.9660146895136068,0.5290985864748046,0.5145396785596542,0.6155773878879031,0.2803737004372573,0.039259123371490845,0.2643316554121228,0.9309503030553057,0.34453136446048865,0.6652007774290725,0.5617762610452584,0.7061021974062275,0.4276163060884926,0.7966984823426296,0.8273355718179659,0.0,0.9585754302923248,0.2638183833575232,0.4816613098013931,1.0,0.5741681524638537,0.10598276996125211,0.4693037405241357,0.7622700210398152,0.6485907758404074,0.16597965920081148,0.6320371408116203,0.1455741969964176,0.639174021074996,0.38663883135829025
