GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,,,,
AC002429.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002429.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002451.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002454.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002456.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002463.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002465.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002467.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC002472.11,,,,,,,,,,,,,,,,,,,,,,,,,
AC002480.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002480.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002480.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002480.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002486.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002486.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002511.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002511.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002519.6,,,,,,,,,,,,,,,,,,,,,,,,,
AC002519.8,,,,,,,,,,,,,,,,,,,,,,,,,
AC002523.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002539.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002542.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002543.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002550.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002550.6,,,,,,,,,,,,,,,,,,,,,,,,,
AC002551.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002553.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002984.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002985.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC003002.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC003002.6,,,,,,,,,,,,,,,,,,,,,,,,,
AC003003.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC003005.2,,,,,,,,,,,,,,,,,,,,,,,,,
